time,crank_v,pressure_v,state,rel_crank_ang,pressure_bar
0.28876,10.726857,-0.225449,nan,124.38642297650131,-2.2995798
0.28878,0.203806,-0.224462,nan,124.69973890339423,-2.2895124
0.2888,10.037054,-0.225449,nan,125.01305483028719,-2.2995798
0.28882,10.617646,-0.225778,nan,125.32637075718014,-2.3029356
0.28884,0.203149,-0.22512,nan,125.6396866840731,-2.2962239999999996
0.28886,8.707788,-0.224462,nan,125.95300261096605,-2.2895124
0.28888,10.595607,-0.230054,nan,126.26631853785901,-2.3465507999999997
0.2889,0.204135,-0.224791,nan,126.57963446475196,-2.2928681999999996
0.28892,5.563122,-0.225778,nan,126.89295039164489,-2.3029356
0.28894,10.555804,-0.223804,nan,127.20626631853784,-2.2828008
0.28896,0.205122,-0.22512,nan,127.5195822454308,-2.2962239999999996
0.28898,0.201504,-0.223804,nan,127.83289817232375,-2.2828008
0.289,10.594949,-0.225449,nan,128.1462140992167,-2.2995798
0.28902,0.206438,-0.22512,nan,128.45953002610966,-2.2962239999999996
0.28904,0.203478,-0.223804,nan,128.77284595300262,-2.2828008
0.28906,10.532778,-0.224133,nan,129.08616187989554,-2.2861566
0.28908,10.649225,-0.224462,nan,129.3994778067885,-2.2895124
0.2891,0.204135,-0.223804,nan,129.71279373368145,-2.2828008
0.28912,10.180146,-0.224133,nan,130.0261096605744,-2.2861566
0.28914,10.640673,-0.224791,nan,130.33942558746736,-2.2928681999999996
0.28916,0.203478,-0.224462,nan,130.65274151436032,-2.2895124
0.28918,9.368965,-0.224791,nan,130.96605744125327,-2.2928681999999996
0.2892,10.600541,-0.224133,nan,131.2793733681462,-2.2861566
0.28922,0.203806,-0.224133,nan,131.59268929503915,-2.2861566
0.28924,5.113137,-0.22512,nan,131.9060052219321,-2.2962239999999996
0.28926,10.526857,-0.224133,nan,132.21932114882506,-2.2861566
0.28928,0.203478,-0.224133,nan,132.53263707571801,-2.2861566
0.2893,0.202162,-0.224462,nan,132.84595300261097,-2.2895124
0.28932,10.453172,-0.224791,nan,133.1592689295039,-2.2928681999999996
0.28934,0.204464,-0.224462,nan,133.47258485639685,-2.2895124
0.28936,0.202491,-0.225778,nan,133.7859007832898,-2.3029356
0.28938,10.331462,-0.223475,nan,134.09921671018276,-2.279445
0.2894,10.479159,-0.224462,nan,134.4125326370757,-2.2895124
0.28942,0.202162,-0.224133,nan,134.72584856396867,-2.2861566
0.28944,10.112054,-0.223147,nan,135.03916449086162,-2.2760994
0.28946,10.455804,-0.225449,nan,135.35248041775455,-2.2995798
0.28948,0.202162,-0.223475,nan,135.6657963446475,-2.279445
0.2895,9.300216,-0.225449,nan,135.97911227154046,-2.2995798
0.28952,10.403172,-0.22512,nan,136.2924281984334,-2.2962239999999996
0.28954,0.20282,-0.223147,nan,136.60574412532637,-2.2760994
0.28956,6.944991,-0.223147,nan,136.91906005221932,-2.2760994
0.28958,10.37587,-0.222818,nan,137.23237597911228,-2.2727435999999996
0.2896,0.20282,-0.222818,nan,137.5456919060052,-2.2727435999999996
0.28962,0.202162,-0.223475,nan,137.85900783289816,-2.279445
0.28964,10.335738,-0.224133,nan,138.1723237597911,-2.2861566
0.28966,0.204464,-0.223804,nan,138.48563968668407,-2.2828008
0.28968,0.201504,-0.22512,nan,138.79895561357702,-2.2962239999999996
0.2897,10.234093,-0.222818,nan,139.11227154046998,-2.2727435999999996
0.28972,10.370278,-0.223475,nan,139.4255874673629,-2.279445
0.28974,0.201175,-0.22216,nan,139.73890339425586,-2.2660319999999996
0.28976,9.854818,-0.223804,nan,140.0522193211488,-2.2828008
0.28978,10.339356,-0.22216,nan,140.36553524804177,-2.2660319999999996
0.2898,0.200846,-0.222818,nan,140.67885117493472,-2.2727435999999996
0.28982,9.312058,-0.223475,nan,140.99216710182768,-2.279445
0.28984,10.307778,-0.221831,nan,141.30548302872063,-2.2626762
0.28986,0.203478,-0.223147,nan,141.61879895561356,-2.2760994
0.28988,6.533817,-0.22216,nan,141.9321148825065,-2.2660319999999996
0.2899,10.381133,-0.224133,nan,142.24543080939947,-2.2861566
0.28992,0.203149,-0.221831,nan,142.55874673629242,-2.2626762
0.28994,0.201833,-0.223147,nan,142.87206266318537,-2.2760994
0.28996,10.314028,-0.223147,nan,143.18537859007833,-2.2760994
0.28998,0.20282,-0.223147,nan,143.49869451697128,-2.2760994
0.29,0.201504,-0.222818,nan,143.8120104438642,-2.2727435999999996
0.29002,10.233435,-0.222489,nan,144.12532637075716,-2.2693877999999996
0.29004,10.342975,-0.222489,nan,144.43864229765012,-2.2693877999999996
0.29006,0.201504,-0.222489,nan,144.75195822454307,-2.2693877999999996
0.29008,9.983107,-0.222818,nan,145.06527415143603,-2.2727435999999996
0.2901,10.323567,-0.22216,nan,145.37859007832898,-2.2660319999999996
0.29012,0.201175,-0.221502,nan,145.69190600522194,-2.2593204
0.29014,9.359426,-0.221831,nan,146.00522193211486,-2.2626762
0.29016,10.305146,-0.221831,nan,146.31853785900782,-2.2626762
0.29018,0.201175,-0.222489,nan,146.63185378590077,-2.2693877999999996
0.2902,7.222287,-0.224133,nan,146.94516971279373,-2.2861566
0.29022,10.284751,-0.221831,nan,147.25848563968668,-2.2626762
0.29024,0.202162,-0.224133,nan,147.57180156657964,-2.2861566
0.29026,0.202162,-0.221173,nan,147.88511749347256,-2.2559646
0.29028,10.237712,-0.223804,nan,148.19843342036552,-2.2828008
0.2903,0.20282,-0.221831,nan,148.51174934725847,-2.2626762
0.29032,0.200846,-0.221502,nan,148.82506527415143,-2.2593204
0.29034,10.181133,-0.22216,nan,149.13838120104438,-2.2660319999999996
